Year,Month,Local Site Name,State,CO2 (ppm),Ozone (ppm),NO2 (ppb),PM2.5 (ug/m3),Daily AQI Value,Site Latitude,Site Longitude
2020,1,22ND & ALVERNON,AZ,0.43666666666666676,,,,5.233333333333333,32.2073900008514,-110.910619
2020,1,22ND & CRAYCROFT,AZ,,0.03486206896551725,28.217857142857152,,29.228070175438596,32.2044107,-110.878067
2020,1,29 Palms,CA,,0.03616666666666667,,6.798333333333334,34.6,33.7196900008716,-116.1897
2020,1,A J MAINTENANCE YARD,AZ,,0.03603333333333335,,,33.333333333333336,33.4214,-111.5436
2020,1,A Street,AK,,,,22.34000000000001,75.225,64.845930000725,-147.69327
2020,1,ALAMO LAKE,AZ,,0.03845161290322581,,2.8666666666666663,25.934426229508198,34.2439,-113.5586
2020,1,APACHE JUNCTION FIRE STATION,AZ,,,,3.2818181818181817,18.09090909090909,33.4211940008678,-111.503222
2020,1,ASHLAND,AL,,,,4.16,23.2,33.284928,-85.803608
2020,1,Abington,CT,,0.032741935483870985,,,30.35483870967742,41.8404600009377,-72.010368
2020,1,Ajax Mountain,CO,,,,0.33,2.0,39.154,-106.821
2020,1,Ak Chin Museum,AZ,,,,0.0,0.0,33.031038,-112.078111
2020,1,Alpine,CA,,0.04200000000000001,10.76,3.974193548387096,24.488372093023255,32.8423180008601,-116.768293
2020,1,Anaheim,CA,0.8148148148148148,0.03141935483870969,37.33666666666666,15.16119402985074,40.148387096774194,33.83062,-117.93845
2020,1,Anaheim Near-Road,CA,1.1033333333333333,,35.03870967741936,,22.80327868852459,33.819305,-117.918759
2020,1,Anderson - North Street,CA,,0.02307142857142858,,,21.357142857142858,40.45291284963,-122.298865550189
2020,1,Aqua Tibia Wilderness,CA,,,,1.9625,10.75,33.4636438345227,-116.971457297006
2020,1,Arapahoe Community College,CO,,,,3.5727272727272723,19.727272727272727,39.6043990009268,-105.019526
2020,1,Arkadelphia/Near Road,AL,0.6166666666666667,,25.75238095238095,7.92,17.36,33.52142749,-86.844112
2020,1,Atascadero,CA,,0.02996551724137933,13.8,6.416,24.357142857142858,35.49453,-120.66617
2020,1,Auburn-Atwood,CA,,0.030161290322580657,,8.583870967741934,36.03225806451613,38.93568,-121.09959
2020,1,Aurora East,CO,,0.04172000000000001,,,38.8,39.638522000927,-104.569335
2020,1,Azusa,CA,0.45000000000000007,0.03016129032258066,30.803225806451607,9.718181818181819,23.203883495145632,34.1365,-117.92391
2020,1,BLUE POINT-SHERIFF STATION-TONTO NF-SALT RIVER RECREATION AREA,AZ,,0.03651612903225807,,,33.70967741935484,33.5455800008694,-111.60972
2020,1,BOULDER CHAMBER OF COMMERCE,CO,,,,2.45,13.5,40.0210970009293,-105.263382
2020,1,BUCKEYE,AZ,0.3133333333333334,0.028433333333333352,20.766666666666666,,16.42222222222222,33.3698500008671,-112.62068
2020,1,BUTTE,AK,,,,12.680555555555555,51.5,61.534163,-149.031655
2020,1,Bakersfield-Airport (Planz),CA,,,,21.842857142857145,74.85714285714286,35.324636,-118.997627
2020,1,Bakersfield-California,CA,,0.023645161290322594,25.472413793103442,18.90000000000001,46.784,35.356615,-119.062613
2020,1,Bakersfield-Golden / M St,CA,,,,21.4,74.0,35.385574,-119.015009
2020,1,Bakersfield-Muni,CA,0.25000000000000006,0.022129032258064528,25.08666666666667,,15.527472527472527,35.331612,-118.999961
2020,1,Banning Airport,CA,,0.04313793103448276,28.428571428571434,7.2774193548387105,34.29545454545455,33.92086,-116.85841
2020,1,Barstow,CA,0.20000000000000007,0.032666666666666684,36.19333333333332,,22.224719101123597,34.89405,-117.02471
2020,1,Battlement Mesa,CO,,0.03553333333333334,12.237931034482758,3.967741935483871,22.11111111111111,39.43806,-108.02611
2020,1,Berkeley- Aquatic Park,CA,0.6479999999999998,0.02214814814814816,28.470370370370368,9.341935483870968,26.554545454545455,37.8647670009145,-122.302741
2020,1,Bethel Island,CA,0.4566666666666667,0.021516129032258073,12.035483870967743,,12.184782608695652,38.006311,-121.641918
2020,1,Big Bear,CA,,,,10.36,45.2,34.2646400008783,-116.86147
2020,1,Bishop Tribe EMO,CA,,0.02603225806451614,,,24.032258064516128,37.3621369693511,-118.417477920338
2020,1,Black Hawk,CO,,0.0473225806451613,,,44.0,39.792519000928,-105.49127
2020,1,Blythe-445 W Murphy Street,CA,,0.030285714285714305,,,28.107142857142858,33.61235,-114.60209
2020,1,Boulder Reservoir,CO,,0.0393448275862069,,,36.48275862068966,40.0700160009296,-105.220238
2020,1,Brawley-220 Main Street,CA,,,,10.045454545454545,45.18181818181818,32.97833,-115.53917
2020,1,Briggsdale,CO,,0.03810344827586208,,,35.275862068965516,40.65,-104.33
2020,1,CASA GRANDE AIRPORT,AZ,,0.035233333333333346,,,32.56666666666667,32.9543610008617,-111.76225
2020,1,CASA GRANDE DOWNTOWN,AZ,,,,6.183333333333333,32.26190476190476,32.8775830008606,-111.752222
2020,1,CAVE CREEK,AZ,,0.0395483870967742,,,36.645161290322584,33.8216900008729,-112.01726
2020,1,CDF,CA,,,,5.412903225806451,29.903225806451612,35.0467300008874,-120.58777
2020,1,CENTRAL PHOENIX,AZ,1.1000000000000003,0.030419354838709698,40.03846153846154,,25.655172413793103,33.4579700008683,-112.04659
2020,1,CHICKASAW,AL,,,,7.051282051282051,37.38461538461539,30.770181,-88.087761
2020,1,CHILDREN'S PARK NCore,AZ,0.3500000000000002,0.03313333333333335,22.57407407407407,4.888095238095237,20.775193798449614,32.29515,-110.9823
2020,1,COACHLINE,AZ,,0.031400000000000004,,5.048387096774193,27.627450980392158,32.38082,-111.12716
2020,1,COLORADO SPRINGS - COLLEGE COLLEGE,CO,,,,4.529032258064516,24.419354838709676,38.8480140009219,-104.828564
2020,1,COLORADO SPRINGS - HIGHWAY 24,CO,0.7300000000000001,,,,8.433333333333334,38.8308950009218,-104.839243
2020,1,CROSSETT,AR,,,,5.2727272727272725,29.454545454545453,33.1394711168438,-91.9392076139
2020,1,CROSSVILLE,AL,,,,5.900000000000001,31.666666666666668,34.288567,-85.969858
2020,1,Caddo Valley,AR,,0.02619354838709679,,,24.225806451612904,34.1795,-93.0988
2020,1,Calexico-Ethel Street,CA,1.193103448275862,0.038000000000000006,37.19999999999999,16.856716417910448,43.15822784810127,32.67618,-115.48307
2020,1,Camp Pendleton,CA,,0.038714285714285715,22.041666666666668,8.696774193548386,34.36144578313253,33.217046,-117.396249
2020,1,Carmel Valley,CA,,0.029806451612903243,,2.7161290322580647,21.322580645161292,36.4818700009023,-121.73333
2020,1,Carpinteria,CA,,0.03528571428571429,3.1153846153846154,,13.375,34.40305200088,-119.457914
2020,1,Carrizo Plains,CA,,0.03358064516129034,,,31.06451612903226,35.35472,-120.04019
2020,1,Chatfield State Park,CO,,0.03941935483870968,,3.1000000000000005,22.87378640776699,39.5344880009264,-105.070358
2020,1,Chico-East Avenue,CA,0.43571428571428567,0.024071428571428584,14.74827586206897,11.222222222222223,23.975206611570247,39.76168,-121.84047
2020,1,Chiricahua NM - Entrance Station,AZ,,0.041533333333333346,,1.04,30.375,32.00941,-109.38906
2020,1,Chula Vista,CA,,0.03610000000000001,30.466666666666665,10.963636363636365,33.971830985915496,32.6312420008573,-117.059088
2020,1,Clovis-Villa,CA,0.5107142857142857,0.023586206896551738,24.5,15.139024390243904,31.42063492063492,36.819449,-119.716433
2020,1,Colfax-City Hall,CA,,0.031677419354838726,,6.703225806451611,32.70967741935484,39.100174496,-120.953831711
2020,1,Colusa-Sunrise Blvd,CA,,0.024193548387096784,,8.834375,30.88888888888889,39.18919,-121.99887
2020,1,Compton,CA,1.4482758620689657,0.02676666666666668,37.9,20.167741935483868,37.358333333333334,33.9013890008739,-118.205
2020,1,Concord,CA,0.5586206896551724,0.028100000000000007,16.756666666666668,7.280487804878046,23.092307692307692,37.936013,-122.026154
2020,1,Corcoran-Patterson,CA,,,,15.907142857142858,63.285714285714285,36.102244,-119.56565
2020,1,Corner,AL,,,,5.703225806451614,31.774193548387096,33.801667,-86.9425
2020,1,Cortez - Health Dept,CO,,0.03563333333333334,,,32.93333333333333,37.3500540009102,-108.592334
2020,1,Crescent City-Crescent Elk School,CA,,,,7.268181818181817,39.0,41.7561300009374,-124.20347
2020,1,Crestline,CA,,0.039096774193548386,,8.58095238095238,39.69230769230769,34.2431,-117.27235
2020,1,Criscuolo Park-New Haven,CT,0.44137931034482764,0.027064516129032268,28.038461538461544,7.675,30.292035398230087,41.3014000009356,-72.902871
2020,1,"DECATUR, Alabama",AL,,,,4.943589743589744,27.487179487179485,34.530717,-86.967536
2020,1,DEER,AR,,0.03206451612903228,,,29.70967741935484,35.8327262904149,-93.208259502105
2020,1,DENVER - CAMP,CO,0.6857142857142857,0.02855555555555557,45.85806451612902,6.525373134328357,29.366013071895424,39.7511840009277,-104.987625
2020,1,DENVER - NJH-E,CO,,,,5.585483870967743,29.64516129032258,39.7385780009277,-104.939925
2020,1,DOYLE SPRINGS ROAD,AR,,,,8.37857142857143,43.833333333333336,34.6813433627688,-92.328697163421
2020,1,DURANGO COMPLEX,AZ,,,,16.567741935483873,63.645161290322584,33.4265000008679,-112.11821
2020,1,DYSART,AZ,,0.03445161290322581,,,31.93548387096774,33.6371800008706,-112.34185
2020,1,Davis-UCD Campus,CA,,0.024851851851851865,12.451724137931034,8.716129032258062,25.149425287356323,38.53445,-121.7734
2020,1,Death Valley NP - Park Village,CA,,0.03745454545454546,,,34.54545454545455,36.508611,-116.847778
2020,1,Denali NP & PRES - Headquarters,AK,,0.036645161290322595,,0.9636363636363637,26.404761904761905,63.7232,-148.9676
2020,1,Donovan,CA,,0.03823333333333334,27.79310344827586,12.167741935483873,38.48888888888889,32.578165,-116.921374
2020,1,EAGLE MOUNTAIN,AR,,0.03307407407407409,,2.075,28.129032258064516,34.454513987,-94.143521226
2020,1,EL DORADO,AR,,,,7.790909090909093,41.72727272727273,33.2205625298932,-92.672262743334
2020,1,Edison,CA,,0.026677419354838718,13.806896551724138,,18.75,35.345607,-118.851825
2020,1,El Cajon - Lexington Elementary School,CA,,,,12.799999999999999,56.2,32.7895650008594,-116.944308
2020,1,El Centro-9th Street,CA,,0.03574193548387099,28.926315789473687,9.540000000000001,33.333333333333336,32.79222,-115.56306
2020,1,El Rio-Rio Mesa School #2,CA,,0.03345161290322582,15.32258064516129,4.158064516129032,22.806451612903224,34.25239,-119.143182
2020,1,Elk Grove-Bruceville,CA,,0.02467857142857144,9.178571428571429,,15.732142857142858,38.302591,-121.420838
2020,1,FAIRGROUNDS,AZ,,0.038000000000000006,,,35.096774193548384,32.0476700008491,-110.774357
2020,1,"FAIRHOPE, Alabama",AL,,,,5.972727272727273,32.36363636363637,30.497478,-87.880258
2020,1,FALCON FIELD,AZ,,0.035433333333333344,,,32.833333333333336,33.4524400008682,-111.73327
2020,1,FLAGSTAFF MIDDLE SCHOOL,AZ,,0.04240000000000001,,,39.36666666666667,35.206111,-111.652777
2020,1,FORT COLLINS - CSU - Edison,CO,,,,3.003225806451613,16.612903225806452,40.5712880009321,-105.079693
2020,1,FORT COLLINS - WEST,CO,,0.04070967741935485,,,37.70967741935484,40.5925430009323,-105.141122
2020,1,FOUNTAIN HILLS,AZ,,0.0346451612903226,,,32.064516129032256,33.6109200008702,-111.72534
2020,1,Fairfield,AL,0.3266666666666666,,,,3.6,33.485556,-86.915
2020,1,Fairfield,CA,,0.027866666666666675,,,25.8,38.227066,-122.075624
2020,1,Fayetteville Airport,AR,,0.031967741935483886,,,29.548387096774192,36.011703,-94.167436
2020,1,Flat Tops,CO,,,,0.5727272727272728,3.090909090909091,39.9153,-107.6345
2020,1,Floyd Dryden Middle School,AK,,,,6.420000000000001,32.4,58.3884971242076,-134.56723651676
2020,1,Fontana,CA,0.582142857142857,0.031206896551724154,39.58275862068966,15.518749999999997,30.166666666666668,34.10002,-117.49201
2020,1,Fort Collins - CSU - S. Mason,CO,0.5655172413793103,0.03613793103448277,,,20.0,40.5774700009323,-105.07892
2020,1,Fort Griswold Park,CT,,,,6.653225806451612,34.11290322580645,41.35362,-72.07882
2020,1,Fort McDowell/Yuma Frank,AZ,,0.07825,,,126.25,33.6292460008705,-111.676928
2020,1,Fresno - Garland,CA,0.7310344827586207,0.019774193548387102,23.325806451612902,18.538709677419355,42.70652173913044,36.78538,-119.77321
2020,1,Fresno-Drummond,CA,,0.023899999999999998,27.455555555555556,,23.736842105263158,36.705474,-119.741332
2020,1,Fresno-Foundry,CA,0.6285714285714284,,27.090000000000003,18.84193548387097,51.1875,36.710833,-119.7775
2020,1,Fresno-Pacific,CA,,,,20.883333333333336,73.16666666666667,36.72639,-119.733
2020,1,Fresno-Sky Park,CA,,0.02203225806451614,17.780645161290323,,18.322580645161292,36.841592,-119.874739
2020,1,GADSDEN C. COLLEGE,AL,,,,5.9,32.75,33.98821,-85.992556
2020,1,GARDEN/TRINITY CHRISTIAN CHURCH,AK,1.6066666666666662,,,12.503225806451614,36.18032786885246,61.2058610007956,-149.824602
2020,1,GERONIMO,AZ,,,,7.203333333333334,37.6,32.251843000852,-110.965293
2020,1,GLENDALE,AZ,,0.03100000000000002,,10.838709677419356,39.064516129032256,33.5745300008697,-112.19193
2020,1,GRAND JUNCTION - POWELL BLDG,CO,,,,9.30322580645161,46.935483870967744,39.0637980009234,-108.561173
2020,1,GREEN VALLEY  -REPLACES SITE 0007 245 W ESPERANZA,AZ,,0.038548387096774196,,1.6800000000000004,22.721311475409838,31.87952,-110.99644
2020,1,Gilroy,CA,,0.025655172413793118,,7.364516129032257,31.983333333333334,36.999571,-121.574684
